,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp(C),Alk(eq/kgw),mu,mass_H2O,charge(eq),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw),Calcite,d_Calcite,Aragonite,d_Aragonite,Dolomite,d_Dolomite,Siderite,d_Siderite,Rhodochrosite,d_Rhodochrosite,Strontianite,d_Strontianite,Witherite,d_Witherite,Gypsum,d_Gypsum,Anhydrite,d_Anhydrite,Celestite,d_Celestite,Barite,d_Barite,Pyrochroite,d_Pyrochroite,Halite,d_Halite,Sylvite,d_Sylvite,Melanterite,d_Melanterite,Smithsonite,d_Smithsonite,Otavite,d_Otavite,CdSO4,d_CdSO4,Cerussite,d_Cerussite,Anglesite,d_Anglesite,si_Calcite,si_Aragonite,si_Dolomite,si_Siderite,si_Rhodochrosite,si_Strontianite,si_Witherite,si_Gypsum,si_Anhydrite,si_Celestite,si_Barite,si_Pyrochroite,si_Halite,si_Sylvite,si_Melanterite,si_Smithsonite,si_Otavite,si_CdSO4,si_Cerussite,si_Anglesite
0,1,i_soln,0,-99.0,-99.0,-99,8.22,0.2679,-99.0,24.5,4.221830794767385e-05,0.9807586785862057,13.171724160465171,-0.0006079679314652294,5.8841654505176485e-09,1.1881334941780713e-07,0.00013134388830349643,0.7376728126405085,0.7543974123021117,0.10447183748569563,0.02040091009948213,0.008132120746183361,0.07152295315888094,0.00010007166778634366,8.461199524689742e-08,3.471156972321958e-05,3.393728565667477e-09,0.0,1.8286928252303604e-09,3.4775365804491227e-09,0.0,1.8355659994976924e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4602617254771282,-1.6037659907986317,-2.2226575415840735,-4.4185765910843635,-5.599313953693217,-2.9993311869759047,-6.96971822617977,0.03677282847299779,-0.2490206604461349,-0.19853342388942607,-0.26805413356827756,-7.974351957844505,-2.1932082094582785,-3.5759094216496763,-7.760586914009332,-7.133041054794868,-6.084890919884524,-12.687395843217939,-4.852988791268055,-4.780704746449268
1,1,i_soln,1,-99.0,-99.0,-99,7.0,4.0,-99.0,25.0,1.216307845413612e-09,1.0064538259864778e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
2,1,react,0,-99.0,0.0,1,8.219810054125821,0.2691734989192246,6.724109122438175,24.5,4.261279182426619e-05,0.9859426891859608,13.04978816893721,-0.0006079679314640162,5.939146538274401e-09,1.1992353016407417e-07,0.00013257115322489547,0.7445655579225082,0.761446430668107,0.10375847030477975,0.01890199209147208,0.008208106516494283,0.07219125689665311,0.0001010067280246722,8.54026017611203e-08,3.503591136132893e-05,3.4254392457393865e-09,0.0,1.8457799587499171e-09,3.510030354717514e-09,0.0,1.8527173553102385e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02204816768818958,0.02204816768818958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4885087761106597,-1.6320130414321632,-2.241362892210258,-4.410804719841165,-5.592826429988902,-2.9905009000005727,-6.960214270011431,0.0,-0.2855991660436814,-0.198034591878109,-0.2668816323639529,-7.972212203664995,-2.1849734237802325,-3.5680257616621187,-7.761826627794228,-7.126948053752324,-6.083254040456895,-12.694090418754325,-4.84941655064228,-4.785463960787509
3,1,transp,1,0.042333333333333334,0.0,0,7.0,3.0,6.724109122438175,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
4,1,transp,2,0.127,0.0,0,7.0,3.0,6.66807487975119,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
5,1,transp,3,0.21166666666666667,0.0,0,7.0,3.0,6.612040637064205,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
6,1,transp,4,0.29633333333333334,0.0,0,7.0,3.0,6.556006394377221,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
7,1,transp,5,0.381,0.0,0,7.0,3.0,6.499972151690235,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
8,1,transp,6,0.4656666666666667,0.0,0,7.0,3.0,6.4439379090032505,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
9,1,transp,7,0.5503333333333333,0.0,0,7.0,3.0,6.387903666316266,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
10,1,transp,8,0.635,0.0,0,7.0,3.0,6.331869423629281,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
11,1,transp,9,0.7196666666666667,0.0,0,7.0,3.0,6.2758351809422965,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
12,1,transp,10,0.8043333333333333,0.0,0,7.0,3.0,6.219800938255311,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
13,1,transp,11,0.889,0.0,0,7.0,3.0,6.163766695568326,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
14,1,transp,12,0.9736666666666667,0.0,0,7.0,3.0,6.107732452881342,25.0,1.216307845413612e-09,1.006453825986477e-07,13.171724160465171,-1.602087143399781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
15,1,transp,1,0.042333333333333334,200.40436001528005,67,8.21981007659991,0.2685536900985805,6.724109122438175,24.5,4.2481241846729894e-05,0.9831519707992533,13.09019891110245,-0.0006079679314576134,5.920811803938465e-09,1.1955331433390098e-07,0.0001321618929280961,0.7422670102082487,0.7590957700256419,0.1035022464101576,0.01890772856012751,0.008182767277697723,0.07196839532756265,0.00010069491023864187,8.513895546029258e-08,3.4927752028521046e-05,3.414864575094413e-09,0.0,1.8400818529752577e-09,3.499194542930396e-09,0.0,1.8469978331044241e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475386548318498,0.02204817257773861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.489315273405282,-1.6328195387267854,-2.244560627530305,-4.412690130101497,-5.594361534902783,-2.992706206628231,-6.962407021683559,0.0,-0.2856746202300702,-0.19950885539753482,-0.2683433409278493,-7.972798082631087,-2.187639512851767,-3.5704882779113367,-7.762716905293967,-7.128312907400437,-6.08356014295507,-12.693665478144267,-4.850263424490199,-4.785579791527193
